2021-12-16 12:12:837 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 12:12:381 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 12:12:392 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 12:12:316 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 12:12:997 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 12:12:324 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 12:12:411 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 12:12:326 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 13:12:684 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 13:12:46 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 13:12:988 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 13:12:636 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:386 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:545 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:754 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:486 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:859 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:841 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:62 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:606 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:514 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:706 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:09 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:283 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:888 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (4fb21778391c9fd2200cbd5887fdffde)] -> xpath: //select[@id='makes']]
2021-12-16 14:12:226 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (4fb21778391c9fd2200cbd5887fdffde)] -> xpath: //select[@id='models']]
2021-12-16 14:12:485 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (4fb21778391c9fd2200cbd5887fdffde)] -> xpath: //select[@id='locations']]
2021-12-16 14:12:695 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (4fb21778391c9fd2200cbd5887fdffde)] -> xpath: //select[@id='priceTo']]
2021-12-16 14:12:961 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 14:12:574 INFO  ManageDriver :30 - Launching chrome Browser
2021-12-16 14:12:395 INFO  CarsBuyers :42 - Select Car from Dropdown list [[ChromeDriver: chrome on WINDOWS (a4e703d90eefa1cd440ece06d1a09932)] -> xpath: //select[@id='makes']]
2021-12-16 14:12:716 INFO  CarsBuyers :47 - Selecting Model : [[ChromeDriver: chrome on WINDOWS (a4e703d90eefa1cd440ece06d1a09932)] -> xpath: //select[@id='models']]
2021-12-16 14:12:971 INFO  CarsBuyers :52 - Selecting location : [[ChromeDriver: chrome on WINDOWS (a4e703d90eefa1cd440ece06d1a09932)] -> xpath: //select[@id='locations']]
2021-12-16 14:12:116 INFO  CarsBuyers :57 - Selecting Price : [[ChromeDriver: chrome on WINDOWS (a4e703d90eefa1cd440ece06d1a09932)] -> xpath: //select[@id='priceTo']]
2021-12-16 14:12:867 INFO  CarsBuyers :62 - Selecting Nextcar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-12-16 14:12:895 INFO  CarsBuyers :66 - Getting Text from : 7 Honda CR-Vs for Sale under $60,000 in Far West, NSW
2021-12-16 14:12:22 INFO  ManageDriver :30 - Launching chrome Browser
